id,host_listings_count,latitude,longitude,accommodates,bedrooms,minimum_nights,availability_30,number_of_reviews,review_scores_value,room_type,host_is_superhost,Houseboat,Room in boutique hotel,Room in hotel,Tower,price
0,13,52.39508,4.99186,3,1.0,2,0,81,4.49,2,0,0,0,0,0,87.0
1,0,52.36371,4.90745,4,2.0,2,3,9,4.89,4,0,0,0,0,0,250.0
2,20,52.35482,4.85329,2,1.0,1,25,47,4.4,3,1,0,0,0,0,151.0
3,1,52.36446,4.85972,2,1.0,2,0,10,4.7,4,0,0,0,0,0,139.0
4,1,52.34176,4.84782,2,1.0,2,18,166,4.57,2,1,0,0,0,0,95.0
5,2,52.36893,4.89729,2,1.0,3,27,101,4.44,2,1,0,0,0,0,140.0
6,1,52.35076,4.88956,2,1.0,2,12,77,4.75,4,1,0,0,0,0,112.0
7,1,52.35593,4.89857,2,1.0,3,23,19,4.22,2,0,0,0,0,0,119.0
8,2,52.35609,4.90872,4,3.0,2,0,3,4.67,4,0,0,0,0,0,199.0
9,8,52.38586,4.87644,2,1.0,1,20,31,4.58,2,1,0,1,0,0,80.0
10,1,52.36832,4.93039,4,3.0,5,0,24,4.75,4,0,0,0,0,0,175.0
11,0,52.37502,4.89659,4,2.0,2,21,0,4.643794288736118,4,0,0,0,0,0,76.0
12,1,52.36508,4.92442,2,1.0,7,0,18,4.83,4,0,0,0,0,0,156.0
13,2,52.38236,4.86899,4,2.0,3,0,8,4.88,4,0,0,0,0,0,201.0
14,3,52.33288,4.87265,3,1.0,1,0,88,4.51,2,0,0,0,0,0,70.0
15,1,52.36073,4.98005,6,5.0,3,4,25,4.74,4,0,0,0,0,0,300.0
16,1,52.38162,4.88238,2,1.0,8,0,25,4.56,4,0,0,0,0,0,100.0
17,1,52.40173,4.90238,2,1.0,2,0,39,4.77,2,1,0,0,0,0,90.0
18,1,52.35481,4.88744,4,2.0,2,0,20,4.75,4,0,0,0,0,0,180.0
19,1,52.34966,4.84949,4,2.0,2,7,3,3.67,2,0,0,0,0,0,150.0
20,1,52.35536,4.89192,2,1.0,3,27,45,4.36,4,0,0,0,0,0,190.0
21,35,52.39856,4.90556,2,1.0,3,21,117,4.27,4,1,0,0,0,0,115.0
22,1,52.36897,4.85561,2,1.0,4,0,82,4.73,4,1,0,0,0,0,120.0
23,1,52.342,4.80547,3,2.0,1,2,1,5.0,4,0,0,0,0,0,70.0
24,2,52.39106,4.93726,4,3.0,7,0,2,3.0,4,0,0,0,0,0,259.0
25,1,52.35449,4.8919,4,3.0,3,29,19,4.58,4,0,0,0,0,0,650.0
26,1,52.34546,4.86738,2,1.0,2,0,27,4.63,2,0,0,0,0,0,87.0
27,1,52.35379,4.9956,2,1.0,180,0,321,4.81,2,1,0,0,0,0,45.0
28,13,52.35473,5.00492,2,1.0,1,0,33,4.55,2,1,0,0,0,0,74.0
29,1,52.34821,4.90406,2,1.0,2,27,211,4.59,4,1,0,0,0,0,104.0
30,0,52.35101,4.89613,2,1.0,5,8,0,4.643794288736118,4,0,0,0,0,0,105.0
31,0,52.38117,4.88052,2,1.0,3,0,1,5.0,4,0,0,0,0,0,100.0
32,2,52.38252,4.85443,1,1.0,2,0,37,4.83,2,0,0,0,0,0,47.0
33,1,52.35678,4.9056,4,4.0,3,0,39,4.79,4,0,0,0,0,0,516.0
34,1,52.37197,4.87308,2,1.0,10,0,8,4.88,4,0,0,0,0,0,99.0
35,1,52.38067,4.85032,4,2.0,2,13,6,4.33,4,0,0,0,0,0,295.0
36,2,52.38107,4.88629,2,1.0,3,0,124,4.31,2,0,0,0,0,0,100.0
37,1,52.35129,4.85118,2,1.0,3,0,24,4.6,4,0,0,0,0,0,140.0
38,0,52.36112,4.89632,4,2.0,3,4,123,4.76,4,1,0,0,0,0,235.0
39,0,52.38001,4.87322,3,1.0,3,0,6,4.83,4,0,0,0,0,0,112.0
40,4,52.36557,4.88776,2,1.0,2,21,234,4.54,2,0,0,0,0,0,107.0
41,1,52.3472,4.85836,2,1.0,2,0,19,4.78,4,0,0,0,0,0,161.0
42,1,52.32539,4.94657,2,1.0,1,26,179,4.18,2,0,0,0,0,0,83.0
43,1,52.37172,4.87508,4,2.0,2,0,6,4.83,4,1,1,0,0,0,320.0
44,1,52.37691,4.877,3,3.0,2,3,0,4.643794288736118,4,0,0,0,0,0,300.0
45,2,52.37914,4.88491,2,1.0,3,18,13,4.38,4,0,0,0,0,0,215.0
46,9,52.3643,4.88867,2,1.0,7,9,2,5.0,4,0,0,0,0,0,197.0
47,1,52.37628,4.93929,2,1.0,1,14,4,4.5,4,0,0,0,0,1,323.0
48,0,52.3881,4.91438,2,1.0,1,0,0,4.643794288736118,2,0,0,1,0,0,68.0
49,1,52.36099,4.85987,2,1.0,6,0,30,4.43,4,0,0,0,0,0,90.0
50,0,52.33474,4.84842,4,2.0,2,24,22,4.59,2,1,0,0,0,0,98.0
51,1,52.36806,4.86094,1,1.0,30,0,42,4.71,2,0,0,0,0,0,43.0
52,1,52.36744,4.86654,4,2.0,2,0,167,4.6,2,1,0,0,0,0,129.0
53,2,52.35241,4.89325,4,2.0,2,1,16,4.69,4,0,0,0,0,0,150.0
54,1,52.38351,4.88487,3,1.0,4,14,57,4.72,4,1,0,0,0,0,194.0
55,3,52.35682,4.89633,4,2.0,7,16,37,4.65,4,0,0,0,0,0,150.0
56,16,52.37426,4.89926,2,1.0,1,26,170,4.64,2,1,0,1,0,0,117.0
57,1,52.36425,4.93857,2,1.0,2,22,42,4.21,2,0,0,0,0,0,71.0
58,1,52.34299,4.95102,4,3.0,3,0,27,4.67,4,0,0,0,0,0,230.0
59,0,52.35683,4.90425,2,1.0,3,0,8,5.0,4,0,0,0,0,0,135.0
60,1,52.37254,4.90382,2,1.0,2,28,277,4.78,2,1,0,0,0,0,100.0
61,1,52.34649,4.8608,2,1.0,3,15,140,4.78,4,1,0,0,0,0,109.0
62,2,52.36452,4.90949,5,3.0,1,4,61,4.77,4,0,0,0,0,0,522.0
63,0,52.3722,4.89926,2,1.0,2,10,8,4.63,2,0,0,0,0,0,64.0
64,1,52.39139,4.88062,2,1.0,3,15,12,4.67,4,0,0,0,0,0,175.0
65,0,52.3762,4.8861,4,2.0,4,0,4,4.75,4,0,0,0,0,0,275.0
66,0,52.366253,4.934817,2,1.0,1,20,83,4.67,2,0,0,0,0,0,49.0
67,1,52.42274,4.89505,2,1.0,2,20,1,5.0,2,0,0,0,0,0,95.0
68,1,52.39968,4.8993,14,7.0,2,26,73,4.57,4,0,0,0,0,0,487.0
69,1,52.36256,4.88782,2,1.0,5,0,0,4.643794288736118,4,0,0,0,0,0,125.0
70,2,52.41404,4.88458,4,3.0,2,0,37,4.81,4,0,0,0,0,0,77.0
71,5,52.37095,4.90958,4,1.0,1,17,19,4.32,4,0,0,0,0,0,203.0
72,2,52.36628,4.86292,5,3.0,5,0,9,4.67,4,0,0,0,0,0,180.0
73,1,52.35411,4.85054,4,2.0,2,0,10,4.3,4,0,0,0,0,0,125.0
74,1,52.343079,4.788886,2,1.0,2,25,448,4.78,2,1,0,0,0,0,137.0
75,17,52.37688,4.8934,2,1.0,1,0,5,4.4,2,0,0,0,0,0,48.0
76,0,52.35831,4.80335,2,1.0,1,30,521,4.53,2,0,0,0,1,0,63.0
77,0,52.37248,4.90522,2,1.0,1,23,2,5.0,2,1,0,1,0,0,164.0
78,2,52.36485,4.87546,4,2.0,6,26,59,4.72,4,0,0,0,0,0,170.0
79,0,52.3609,4.90943,2,1.0,3,11,12,4.83,2,0,0,0,0,0,60.0
80,0,52.3423,4.90787,2,1.0,2,0,0,4.643794288736118,4,0,0,0,0,0,175.0
81,2,52.3696,4.88748,4,2.0,7,7,85,4.68,4,0,0,0,0,0,210.0
82,1,52.39246,4.9276,2,1.0,2,6,7,4.67,2,0,0,0,0,0,80.0
83,2,52.39643,4.91024,6,3.0,3,0,3,5.0,4,0,0,0,0,0,295.0
84,1,52.37616,4.87377,2,1.0,4,0,19,4.74,4,0,0,0,0,0,125.0
85,2,52.38446,4.83814,4,2.0,2,0,6,4.83,4,1,0,0,0,0,195.0
86,1,52.3741,4.87786,2,1.0,2,6,73,4.68,4,1,0,0,0,0,111.0
87,0,52.41049,4.9066,5,3.0,2,0,0,4.643794288736118,4,0,0,0,0,0,330.0
88,21,52.36541,4.8592,2,1.0,1,14,12,4.75,2,0,0,0,0,0,68.0
89,4,52.35358,4.91353,2,1.0,1,30,83,4.51,3,0,0,1,0,0,91.0
90,2,52.36264,4.92591,2,1.0,1,4,76,4.8,2,1,0,0,0,0,85.0
91,1,52.3565,4.91704,2,1.0,4,5,0,4.643794288736118,4,0,0,0,0,0,150.0
92,1,52.36947,4.85533,4,1.0,3,5,6,4.67,4,0,0,0,0,0,160.0
93,1,52.35345,4.89037,4,2.0,3,3,40,4.65,4,0,0,0,0,0,337.0
94,1,52.35028,5.01179,4,4.0,3,6,2,4.0,4,0,0,0,0,0,250.0
95,1,52.34408,4.91061,2,1.0,3,0,22,4.64,4,0,0,0,0,0,120.0
96,2,52.30388,4.96761,2,1.0,1,22,3,5.0,2,0,0,0,0,0,60.0
97,12,52.38524,4.90446,1,1.0,1,0,11,4.27,3,0,0,0,0,0,31.0
